MLSNumber,Address,Status,SoldPrice,OriginalPrice,CurrentPrice,Last List Price,DOM,PMP,ListDate,StatusDate,Agreement of Sale/Signed Lease Date,SettledDate,Concessions YN,Concessions Remarks,SellerConcessionsAmount,FinalFinancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC512480,3419 Pebble Beach Dr,Closed,"$228,000 ","$238,000 ","$228,000 ","$221,900 ",20,20,11/16/20,1/7/21,12/4/20,1/7/21,Yes,,"$4,560 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC497602,4917 Hogan Dr,Closed,"$228,000 ","$244,900 ","$229,900 ","$232,400 ",83,83,3/10/20,6/30/20,5/30/20,6/29/20,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC511338,3214 Champions Dr,Closed,"$229,000 ","$229,000 ","$229,000 ",,0,0,11/2/20,11/4/20,9/22/20,11/2/20,Yes,,$450 ,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC510466,1009 Highland Ave,Closed,"$229,900 ","$219,900 ","$229,900 ","$219,900 ",7,7,10/2/20,11/13/20,10/8/20,11/13/20,Yes,,"$2,500 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC524506,10 Kristina Ct,Closed,"$230,000 ","$214,900 ","$214,900 ",,5,5,4/16/21,5/12/21,4/20/21,5/11/21,Yes,,"$3,250 ",Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523362,2406 Duncan Rd,Closed,"$230,000 ","$224,900 ","$224,900 ",,4,4,3/29/21,4/30/21,3/31/21,4/30/21,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC521672,2411 Hammond Pl,Closed,"$230,000 ","$230,000 ","$230,000 ",,1,1,2/27/21,4/23/21,3/2/21,4/23/21,Yes,,"$10,000 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC509908,2218 Alister Dr,Closed,"$230,000 ","$235,000 ","$235,000 ",,7,7,9/23/20,11/25/20,9/30/20,11/20/20,Yes,,"$10,000 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC520624,22 Ingrid Ct,Closed,"$230,250 ","$224,900 ","$230,250 ","$234,900 ",6,6,2/11/21,4/4/21,2/16/21,3/31/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522354,2317 Katherine Ave,Closed,"$230,500 ","$225,000 ","$225,000 ",,5,5,3/16/21,5/1/21,3/20/21,4/30/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
