MLSNumber,Days_on_Market,Orig_List_Price,Month,Year,Zip_Code,SchoolDistrict,AnnualTax,LotAcres,SubdivisionNeighborhood,Municipality,Lot,OwnerOccupied,TotalLandAsmt,TotalBldgAsmt,PropertyClass,YearBuilt,Bedrooms,Baths,Basement_YN,Garage_YN,AboveGradeSqFt,BelowGradeSqFt,Condo/Coop_Assoc_YN,Central_Air_YN,HOA_YN,Age,Ownership,Structure_Type,InteriorSqFt,NumberofStories,DaysOnMarket_Buckets
DENC521108,4.0,285000.0,2,2021,19711,Christina,3471,0.05,Linden Way,Mill Creek Hundred,239,True,10900,73100,Residential,1997,3.0,4.0,Yes,Yes,2000.0,800.0,No,Yes,Yes,1997.0,FeeSimple,Interior Row/Townhouse,2800.0,"Lower1,Main,Upper1",Less than 2 months
DENC512304,4.0,290000.0,11,2020,19711,Christina,2485,0.17,Binns,Newark City,65,True,9900,47200,Residential,1953,4.0,2.0,Yes,No,2225.0,586.0,No,Yes,No,1953.0,FeeSimple,Detached,2811.0,"Main,Upper1",Less than 2 months
DENC511670,5.0,289900.0,10,2020,19711,Red Clay Consolidated,3028,0.09,The Ridge,Mill Creek Hundred,140,True,24800,67000,Residential,1989,3.0,3.0,Yes,Yes,1350.0,0.0,No,Yes,Yes,1989.0,FeeSimple,Interior Row/Townhouse,1350.0,"Lower1,Main,Upper1",Less than 2 months
DENC504180,3.0,285000.0,6,2020,19711,Red Clay Consolidated,2437,0.25,Meadowood,Mill Creek Hundred,66,True,11800,62100,Residential,1960,3.0,3.0,Yes,Yes,1725.0,700.0,No,Yes,Yes,1960.0,FeeSimple,Detached,2425.0,"Lower1,Main",Less than 2 months
DENC503834,3.0,295000.0,6,2020,19711,Christina,2574,0.23,Meeting House Hill,Mill Creek Hundred,163,True,12300,50000,Residential,1968,3.0,2.0,Yes,Yes,1825.0,780.0,No,Yes,Yes,1968.0,FeeSimple,Detached,2605.0,"Lower1,Main",Less than 2 months
DENC503810,4.0,289000.0,6,2020,19711,Red Clay Consolidated,2190,0.27,The Ridge,Mill Creek Hundred,190,True,26300,72100,Residential,1989,3.0,3.0,Yes,Yes,1575.0,0.0,No,Yes,Yes,1990.0,FeeSimple,End of Row/Townhouse,1575.0,"Main,Upper1",Less than 2 months
DENC501964,4.0,279900.0,5,2020,19711,Christina,2863,0.26,Fairfield Crest,Newark City,53,True,12900,52900,Residential,1961,4.0,2.0,Yes,Yes,1675.0,0.0,No,Yes,No,1961.0,FeeSimple,Detached,1675.0,"Main,Upper1",Less than 2 months
DENC500408,19.0,284900.0,4,2020,19711,Red Clay Consolidated,3222,0.11,The Ridge,Mill Creek Hundred,205,True,25700,72000,Residential,1989,3.0,3.0,Yes,Yes,1575.0,0.0,No,Yes,Yes,1989.0,FeeSimple,Detached,1575.0,"Main,Upper1",Less than 2 months
DENC498012,89.0,294900.0,3,2020,19711,Christina,2824,0.19,Cherry Hill,Newark City,131,True,12300,52600,Residential,1964,4.0,2.0,Yes,No,1900.0,780.0,No,Yes,No,1964.0,FeeSimple,Detached,2680.0,"Lower1,Lower2,Main",More than 2 months
DENC524010,10.0,299900.0,4,2021,19711,Christina,2843,0.32,Deacons Walk,Mill Creek Hundred,10,True,15200,53600,Residential,1971,4.0,2.0,Yes,Yes,0.0,0.0,No,Yes,No,1971.0,FeeSimple,Detached,0.0,"Main,Upper1",Less than 2 months
