MLS Number,address_new,lat,lng
DENC499946,"4 Carsdale  Wilmington, DE",39.7368019,-75.6689695
DENC499496,"2 Kathlyn  Wilmington, DE",39.7262832,-75.6766501
DENC512908,"8 Barbara  Wilmington, DE",39.7068449,-75.6752412
DENC524400,"2104 Nicholby  Wilmington, DE",39.726454,-75.656016
DENC512998,"2129 Armour  Wilmington, DE",39.7202825,-75.6606067
DENC506428,"244 Cayman  Wilmington, DE",39.7495771,-75.6825011
DENC502800,"618 Dandenog  Wilmington, DE",39.748874,-75.662716
DENC521390,"841 N Waterford  Wilmington, DE",39.74912140000001,-75.6835282
DENC513252,"4814 Old Capitol  Wilmington, DE",39.72035109999999,-75.6611521
DENC500654,"10 Oaknoll  Wilmington, DE",39.7379329,-75.6384248
DENC496226,"2631 W Robino  Wilmington, DE",39.7395076,-75.6553342
DENC507704,"2603 Drayton  Wilmington, DE",39.7209095,-75.6761274
DENC505214,"2509 Braken Apt 45 Wilmington, DE",39.7451233,-75.6973946
DENC500974,"3703 Wild Cherry  Wilmington, DE",39.735594,-75.6414705
DENC497416,"114 Somerset  Wilmington, DE",39.7483213,-75.68388569999999
DENC525138,"4515 Hendry  Wilmington, DE",39.7226316,-75.6526071
DENC524362,"5509 Doral  Wilmington, DE",39.7302741,-75.7015524
DENC521710,"3722 Wild Cherry  Wilmington, DE",39.7341507,-75.64128869999999
DENC517082,"1913 S Woodmill  Wilmington, DE",39.7160533,-75.66746959999999
DENC512102,"1215 Highgate  Wilmington, DE",39.7360986,-75.66619709999999
DENC509098,"43 Marta  Wilmington, DE",39.7061538,-75.6805215
DENC510764,"6002 Madeline  Wilmington, DE",39.7092789,-75.67764989999999
DENC507634,"2215 E Huntington  Wilmington, DE",39.7145334,-75.6691967
DENC506536,"457 Woodstock  Wilmington, DE",39.744939,-75.68330399999999
DENC504522,"715 Haddon  Wilmington, DE",39.74672899999999,-75.68280899999999
DENC502788,"2613 Belaire  Wilmington, DE",39.7237483,-75.6742187
DENC501498,"725 Dorcaster  Wilmington, DE",39.7369713,-75.65869769999999
