MLSNumber,Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,BathsFull,Design,Style,NumberofStories,Central_Air_YN,Cooling,PrimaryHeat,HeatDelivery,HotWater,Water,Sewer,Basement_YN,Garage_YN,ExteriorMaterial,LotFrontage,LotDepth,LotSqFt,LotAcres,YearBuilt,Sold_Price,Days_on_Market,PC1,PC2,PC3,Class
DENC2010026,219990.0,19720,LEEDOM ESTATES,Colonial,No,Detached,0.18,975.0,975.0,0.0,3.0,1.0,1.0,One,Rancher,"Lower3,Main",Yes,CentralAC,NaturalGas,"EnergyStarHeatingSystem,ForcedAir",NaturalGas,Public,PublicSewer,Yes,No,Brick,70.7,107.8,7841,0.18,1953,205000.0,1.0,-4.202487211440477,-4.194803018734814,-0.7375827586497105,1
DENC2007338,209900.0,19720,WILM MANOR GARDENS,Colonial,No,Detached,0.15,850.0,850.0,0.0,2.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,No,"AluminumSiding,VinylSiding",60.0,110.0,6534,0.15,1949,205000.0,131.0,-4.66400461423983,-5.2717799993761405,-1.2625141867470062,1
DENC2006956,200000.0,19720,EDINBURGH VILLAS,Colonial,Yes,Interior Row/Townhouse,0.04,1200.0,1200.0,0.0,3.0,3.0,2.0,Two,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",18.0,94.0,1742,0.04,1989,205000.0,1.0,-1.9360266737269478,1.3029084404972744,-3.9120118874093444,3
DENC2006672,209900.0,19720,WILM MANOR GARDENS,Colonial,No,Detached,0.18,850.0,850.0,0.0,2.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,No,VinylSiding,60.0,132.4,7841,0.18,1948,205000.0,20.0,-4.585458594084648,-5.522690269677611,-1.3496239050281111,1
DENC2000428,200000.0,19720,JACQUETTE SQUARE,Colonial,No,Twin/Semi-Detached,0.07,1490.0,1325.0,165.0,3.0,2.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,VinylSiding,28.0,108.0,3049,0.07,1973,205000.0,18.0,-2.781447851857869,-0.4254836532247584,-1.0556803132591768,1
DENC526514,199999.0,19720,WILM MANOR,Colonial,No,Detached,0.14,1100.0,1100.0,0.0,2.0,2.0,1.0,Two,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Stucco,53.3,101.1,6098,0.14,1948,205000.0,3.0,-3.3259735442948104,-3.043244975349613,-0.9181407409840339,1
DENC522384,205000.0,19720,GREENBRIER,Colonial,No,Detached,0.22,1150.0,1150.0,0.0,2.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,"HoldingTank,PublicHookUpAvail",No,Yes,VinylSiding,85.0,112.5,9583,0.22,1950,205000.0,46.0,-3.675850945938117,-7.164550642904219,-1.2235341689800443,1
DENC2017944,205906.0,19720,IVY RIDGE,Colonial,No,Detached,0.24,2165.0,1625.0,540.0,3.0,1.0,1.0,One,Rancher,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,Brick,83.8,121.1,10454,0.24,1966,205906.0,0.0,-2.715122525045448,-3.8449293997843257,-0.4787222691986733,1
DENC2004022,195000.0,19720,SWANWYCK ESTATES,Colonial,Yes,Detached,0.15,900.0,900.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,Yes,"AluminumSiding,VinylSiding",63.5,105.0,6534,0.15,1956,206000.0,4.0,-3.152275731219489,-5.22596571576785,-2.192759669120787,1
DENC528920,206000.0,19720,BUENA VISTA PARK,Colonial,No,End of Row/Townhouse,0.05,1425.0,1425.0,0.0,3.0,3.0,3.0,Two,StraightThru,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,HeatPumps,NaturalGas,Public,PublicSewer,Yes,No,"AluminumSiding,VinylSiding",20.0,113.1,2178,0.05,1989,206000.0,1.0,-2.3725581631361807,0.7665201409862683,-2.79910068949571,3
DENC525386,185000.0,19720,COLLINS PARK,Colonial,No,Detached,0.12,1175.0,1175.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,Electric,HotWater,Electric,Public,PublicSewer,No,Yes,Stucco,50.0,100.0,5227,0.12,1947,206000.0,4.0,-3.6673058837647217,-4.570682439899925,-0.6287154243097214,1
DENC2005218,205000.0,19720,CASTLE HILLS,Colonial,No,Detached,0.21,900.0,900.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,No,No,VinylSiding,55.0,137.2,9148,0.21,1953,207000.0,6.0,-4.419279132536921,-5.785326107984446,-1.2853537096582668,1
DENC527792,204900.0,19720,COLLINS PARK,Colonial,No,Detached,0.28,1000.0,1000.0,0.0,3.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,No,No,Other,58.4,245.0,12197,0.28,1949,207000.0,5.0,-4.0134446861330515,-5.138781837468458,-1.1654653844503502,1
DENC2007966,207500.0,19720,MEADOWS OF WILTON,Colonial,Yes,End of Row/Townhouse,0.09,2700.0,1350.0,1350.0,3.0,3.0,2.0,Two,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",35.0,110.0,3920,0.09,1988,207500.0,29.0,-0.8253268628353368,0.7657455015800727,-3.3158450805771538,3
DENC2016820,200000.0,19720,COLLINS PARK,Colonial,No,Detached,0.11,825.0,825.0,0.0,3.0,1.0,1.0,OneandaHalf,"Bungalow,CapeCod","Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,Brick,50.0,100.0,4791,0.11,1948,208000.0,6.0,-3.1518618599510457,-2.3076842509004627,-0.2233446313344568,1
DENC526242,194500.0,19720,WILM MANOR,Colonial,No,Detached,0.19,900.0,900.0,0.0,2.0,1.0,1.0,One,Rancher,Main,Yes,CentralAC,NaturalGas,Central,NaturalGas,Public,PublicSewer,Yes,Yes,"Asbestos,Brick,Stucco,VinylSiding",149.5,131.4,8276,0.19,1946,208000.0,5.0,-3.313150305572733,-5.401067930388881,-0.6943013305379406,1
DENC525000,215000.0,19720,COLLINS PARK,Colonial,No,Detached,0.11,1075.0,1075.0,0.0,3.0,1.0,1.0,OneandaHalf,CapeCod,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,Electric,Public,PublicSeptic,Yes,No,Brick,50.0,100.0,4792,0.11,1948,208000.0,12.0,-2.9816886586021685,-2.6356903114534274,0.2692183613292299,1
DENC2009528,209000.0,19720,OLD NEW CASTLE,Colonial,No,Interior Row/Townhouse,0.05,1225.0,1225.0,0.0,0.0,2.0,2.0,Two,Victorian,"Lower1,Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,AluminumSiding,17.4,114.0,2178,0.05,1900,209000.0,1.0,-3.92024216344078,0.444834330954886,-1.6556864669172702,3
