Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,NumberofStories,Central_Air_YN,Water,Basement_YN,Garage_YN,ExteriorMaterial,YearBuilt
260000.0,13,132,4,1,1,0.25,1425.0,1425.0,0.0,3.0,2.0,11,2,12,2,2,141,82
274900.0,13,168,4,1,1,0.17,2539.0,1925.0,614.0,3.0,2.0,11,2,12,2,1,71,89
260000.0,13,406,4,1,1,0.16,1850.0,1550.0,300.0,3.0,2.0,11,2,12,2,1,77,89
279000.0,13,151,4,1,1,0.16,1675.0,1675.0,0.0,3.0,2.0,12,2,12,2,2,192,86
274900.0,13,317,4,1,1,0.16,2450.0,1250.0,1200.0,3.0,2.0,11,2,12,2,1,193,92
275000.0,13,151,4,1,1,0.23,1698.0,1425.0,273.0,3.0,2.0,12,2,12,2,2,43,86
282000.0,13,412,4,1,2,0.1,2400.0,1718.0,682.0,3.0,3.0,12,2,12,2,1,141,104
287000.0,13,297,4,2,3,0.07,1850.0,1850.0,0.0,3.0,3.0,27,2,12,2,2,193,122
279900.0,13,297,4,2,2,0.1,1700.0,1700.0,0.0,3.0,3.0,20,2,12,1,2,24,122
259900.0,13,87,4,1,1,0.16,1856.0,1325.0,531.0,3.0,2.0,12,2,12,2,2,24,85
279000.0,13,182,4,1,1,0.15,1800.0,1800.0,0.0,3.0,3.0,12,2,12,2,2,69,121
300000.0,13,45,4,2,3,0.0,2330.0,1290.0,1040.0,3.0,3.0,11,2,12,2,2,193,122
279000.0,13,294,4,2,1,0.31,1678.0,1678.0,0.0,4.0,2.0,27,1,12,2,2,193,82
274900.0,13,331,4,1,1,0.46,1925.0,1450.0,475.0,3.0,3.0,11,2,12,2,2,141,89
269999.0,13,538,4,1,1,0.15,1750.0,1750.0,0.0,3.0,3.0,26,2,12,2,2,69,115
279900.0,13,369,4,2,3,0.06,1750.0,1550.0,200.0,2.0,3.0,12,2,12,2,2,69,123
259500.0,13,132,4,1,1,0.32,1300.0,1300.0,0.0,3.0,2.0,11,2,12,2,2,43,79
277000.0,13,151,4,1,1,0.15,2221.0,1675.0,546.0,3.0,2.0,12,2,12,2,2,43,87
289900.0,13,538,4,1,1,0.37,1175.0,1175.0,0.0,3.0,1.0,26,2,12,1,2,3,111
284900.0,13,619,4,1,1,0.15,1725.0,1725.0,0.0,3.0,2.0,27,2,12,1,2,69,116
294900.0,13,238,4,1,1,0.16,2664.0,2000.0,664.0,4.0,2.0,12,1,12,2,1,193,93
270000.0,13,191,4,1,1,0.15,1548.0,1300.0,248.0,3.0,2.0,11,2,12,2,1,73,89
264900.0,13,76,4,1,1,0.3,1850.0,1850.0,0.0,3.0,2.0,11,2,12,2,2,73,101
275000.0,13,458,4,1,1,0.18,2235.0,1675.0,560.0,3.0,2.0,11,2,12,2,2,141,91
300000.0,13,191,4,2,1,0.17,1500.0,950.0,550.0,3.0,2.0,11,2,12,2,2,43,89
269900.0,13,279,4,1,1,0.38,2400.0,1200.0,1200.0,3.0,2.0,11,2,12,2,2,141,83
282900.0,13,297,4,2,3,0.06,2030.0,1700.0,330.0,2.0,3.0,12,2,12,1,2,193,122
289900.0,13,511,4,1,1,0.3,3255.0,2325.0,930.0,4.0,2.0,26,2,12,2,2,73,102
289900.0,13,412,4,2,2,0.11,2939.0,2075.0,864.0,4.0,4.0,12,2,12,2,2,283,104
290000.0,13,458,4,1,1,0.24,1797.0,1198.0,599.0,3.0,2.0,12,2,12,2,1,196,91
289000.0,13,190,4,2,2,0.16,2802.0,2100.0,702.0,3.0,3.0,11,1,12,2,2,118,112
284000.0,13,190,4,2,2,0.14,2450.0,2450.0,0.0,3.0,3.0,26,2,12,2,1,247,111
279900.0,13,538,4,1,1,0.23,1625.0,1625.0,0.0,4.0,2.0,27,2,12,1,2,291,113
285000.0,13,353,4,1,1,0.19,2493.0,1875.0,618.0,3.0,2.0,11,2,12,2,2,141,95
305000.0,13,146,4,1,1,0.2,2330.0,1750.0,580.0,3.0,2.0,11,2,12,2,2,43,96
285000.0,13,406,4,1,1,0.2,2837.0,2125.0,712.0,3.0,2.0,11,2,12,2,1,169,89
279000.0,13,412,4,2,3,0.06,1475.0,1475.0,0.0,3.0,3.0,27,2,12,2,1,193,109
289000.0,13,538,4,1,1,0.15,1850.0,1850.0,0.0,3.0,2.0,27,2,12,1,2,291,114
277000.0,13,297,4,2,3,0.07,1850.0,1850.0,0.0,3.0,3.0,27,2,12,2,2,193,122
289000.0,13,238,4,2,1,0.17,2664.0,2000.0,664.0,4.0,2.0,4,2,12,2,2,162,94
300000.0,13,11,4,1,1,0.24,1875.0,1875.0,0.0,4.0,3.0,12,2,12,2,2,73,98
289900.0,13,461,4,2,1,0.19,1875.0,1875.0,0.0,4.0,2.0,12,2,12,2,2,24,88
285500.0,13,294,4,1,1,0.2,1964.0,1600.0,364.0,4.0,2.0,27,2,12,2,2,80,90
299900.0,13,369,4,1,3,0.06,1550.0,1550.0,0.0,2.0,4.0,26,2,12,2,1,43,123
289000.0,13,190,4,2,2,0.17,3463.0,2575.0,888.0,3.0,2.0,12,2,12,2,1,164,113
279000.0,13,76,4,1,1,0.24,1850.0,1850.0,0.0,3.0,2.0,26,2,12,2,2,141,96
292500.0,13,369,4,2,3,0.06,2800.0,2000.0,800.0,2.0,3.0,12,2,12,2,1,291,122
299900.0,13,369,4,2,3,0.06,1550.0,1550.0,0.0,3.0,3.0,27,2,12,2,2,193,122
285000.0,13,459,4,1,1,0.17,2382.0,1700.0,682.0,3.0,2.0,11,2,12,2,2,141,102
289900.0,13,190,4,2,3,0.07,2925.0,2400.0,525.0,3.0,3.0,13,2,12,2,2,291,110
300000.0,13,297,4,2,3,0.07,2152.0,1800.0,352.0,3.0,3.0,27,2,12,2,2,43,121
274900.0,13,238,4,1,1,0.18,2664.0,2000.0,664.0,4.0,2.0,5,1,12,2,2,73,92
315000.0,13,412,4,2,2,0.11,2424.0,2050.0,374.0,3.0,3.0,27,2,12,2,2,291,112
310000.0,13,369,4,2,3,0.06,1600.0,1600.0,0.0,3.0,3.0,12,2,12,2,2,43,122
295000.0,13,369,4,1,2,0.15,2479.0,2050.0,429.0,2.0,4.0,12,2,12,2,1,291,122
279000.0,13,461,4,2,1,0.19,2498.0,1875.0,623.0,3.0,2.0,13,2,12,2,2,43,87
295000.0,13,369,4,2,3,0.06,2430.0,1600.0,830.0,2.0,4.0,12,2,12,2,1,291,125
274900.0,13,461,4,1,1,0.27,2498.0,1875.0,623.0,4.0,2.0,12,1,12,2,2,164,88
289000.0,13,168,4,2,1,0.16,2179.0,1675.0,504.0,4.0,2.0,11,2,12,2,2,71,89
309000.0,13,238,4,2,1,0.28,2864.0,2150.0,714.0,4.0,3.0,27,2,12,2,2,164,92
299999.0,13,168,4,1,1,0.29,2179.0,1675.0,504.0,3.0,2.0,11,2,12,2,2,141,89
280000.0,13,458,4,1,1,0.29,1275.0,1275.0,0.0,3.0,3.0,12,2,12,2,2,193,92
297000.0,13,151,4,1,1,0.19,2673.0,1975.0,698.0,4.0,3.0,26,1,12,2,1,164,87
297500.0,13,369,4,2,3,0.06,1550.0,1550.0,0.0,2.0,3.0,12,2,12,2,2,69,125
295000.0,13,95,4,2,2,0.14,2400.0,2400.0,0.0,2.0,3.0,13,2,12,2,2,251,115
289900.0,13,369,4,2,3,0.11,1550.0,1550.0,0.0,2.0,3.0,27,2,12,2,1,193,122
299000.0,13,151,4,1,1,0.22,1698.0,1425.0,273.0,3.0,2.0,12,2,12,2,2,223,87
299900.0,13,238,4,1,1,0.19,2664.0,2000.0,664.0,4.0,2.0,18,2,12,2,2,193,92
299900.0,13,163,4,1,1,0.15,1702.0,1702.0,0.0,4.0,2.0,12,2,12,2,2,43,108
299900.0,13,279,4,1,1,0.19,2325.0,1825.0,500.0,3.0,2.0,18,2,12,2,2,193,84
289500.0,13,190,4,2,3,0.07,2550.0,2550.0,0.0,3.0,2.0,12,2,12,2,1,164,111
299900.0,13,163,4,1,1,0.22,2858.0,2000.0,858.0,3.0,3.0,26,2,12,2,2,43,107
279900.0,13,619,4,1,1,0.2,0.0,0.0,0.0,3.0,3.0,27,2,12,1,2,69,116
315000.0,13,461,4,2,1,0.21,1874.0,1575.0,299.0,3.0,2.0,12,1,12,2,2,164,88
299789.0,13,168,4,1,1,0.42,2897.0,2325.0,572.0,4.0,3.0,12,2,12,1,2,141,89
289900.0,13,168,4,1,1,0.5,1832.0,1525.0,307.0,3.0,2.0,11,2,12,2,1,141,91
