,MLSNumber,Days_on_Market,Orig_List_Price,Month,Year,Zip_Code,SchoolDistrict,AnnualTax,LotAcres,SubdivisionNeighborhood,Municipality,Lot,OwnerOccupied,TotalLandAsmt,TotalBldgAsmt,PropertyClass,YearBuilt,Bedrooms,Baths,Basement_YN,Garage_YN,AboveGradeSqFt,BelowGradeSqFt,Condo/Coop_Assoc_YN,Central_Air_YN,HOA_YN,Age,Ownership,Structure_Type,InteriorSqFt,NumberofStories,DaysOnMarket_Buckets,Predicted_DOM
1064,DENC509690,5.0,379900.0,9,2020,19806,Red Clay Consolidated,3402,0.08,Wilm #13,Wilmington City,166,False,12000,62300,Residential,1894.0,3.0,2.0,Yes,No,1725.0,0.0,No,Yes,No,1894.0,FeeSimple,End of Row/Townhouse,1725.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1065,DENC510472,22.0,399000.0,10,2020,19806,Red Clay Consolidated,2716,0.05,Wilm #13,Wilmington City,9,True,10800,48500,Residential,1910.0,3.0,2.0,Yes,No,1500.0,0.0,No,Yes,No,1910.0,FeeSimple,Twin/Semi-Detached,1500.0,"Main,Upper1",Less than 2 months,More than 2 months
1066,DENC505042,11.0,389900.0,7,2020,19806,Red Clay Consolidated,6141,0.05,Wilm #11,Wilmington City,198,False,9800,124300,Residential,1977.0,4.0,4.0,Yes,No,3550.0,1184.0,No,Yes,Yes,1977.0,FeeSimple,Interior Row/Townhouse,4734.0,"Lower1,Main,Upper1",Less than 2 months,More than 2 months
1067,DENC509662,31.0,425000.0,9,2020,19806,Red Clay Consolidated,3764,0.05,Wilm #11,Wilmington City,104,False,9400,72800,Residential,1924.0,4.0,4.0,Yes,No,2325.0,0.0,No,Yes,No,1924.0,FeeSimple,Twin/Semi-Detached,2325.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1068,DENC494622,1.0,385000.0,2,2020,19806,Red Clay Consolidated,4369,0.07,Wilm #13,Wilmington City,148,True,11800,83600,Residential,1915.0,4.0,2.0,Yes,No,2275.0,0.0,No,Yes,No,1915.0,FeeSimple,Twin/Semi-Detached,2275.0,"Main,Upper1",Less than 2 months,More than 2 months
1069,DENC509078,28.0,389900.0,9,2020,19806,Red Clay Consolidated,3256,0.07,Wilm #13,Wilmington City,56,True,11800,59300,Residential,1910.0,3.0,3.0,Yes,Yes,1475.0,0.0,No,Yes,No,1910.0,FeeSimple,Twin/Semi-Detached,1475.0,"Lower1,Main,Upper1",Less than 2 months,More than 2 months
1070,DENC521212,1.0,389900.0,2,2021,19806,Red Clay Consolidated,3288,0.09,Wilm #13,Wilmington City,43,False,11100,60700,Residential,1930.0,3.0,2.0,Yes,No,1275.0,0.0,No,Yes,No,1930.0,FeeSimple,Detached,1275.0,"Main,Upper1",Less than 2 months,More than 2 months
1071,DENC523162,4.0,379900.0,3,2021,19806,Red Clay Consolidated,2963,0.04,Wilm #12,Wilmington City,133,True,8500,56200,Residential,1907.0,3.0,3.0,Yes,No,1875.0,0.0,No,Yes,No,1907.0,FeeSimple,Twin/Semi-Detached,1875.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1072,DENC502492,3.0,395000.0,6,2020,19806,Red Clay Consolidated,4808,0.03,Wilm #11,Wilmington City,271,True,11500,93500,Residential,1977.0,3.0,3.0,No,Yes,2975.0,0.0,No,Yes,No,1978.0,FeeSimple,Interior Row/Townhouse,2975.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1073,DENC520006,7.0,399900.0,1,2021,19806,Red Clay Consolidated,2587,0.05,Wilm #12,Wilmington City,16,True,8600,47900,Residential,1900.0,3.0,3.0,Yes,No,1875.0,0.0,No,Yes,No,1900.0,FeeSimple,Detached,1875.0,"Main,Upper1",Less than 2 months,More than 2 months
1074,DENC520720,47.0,500000.0,2,2021,19806,Brandywine,4146,0.0,Brandywine Park,Brandywine Hundred,001.C.A602,True,27500,89700,Residential,1992.0,2.0,2.0,Yes,No,0.0,0.0,Yes,Yes,No,1987.0,Condominium,Unit/Flat/Apartment,0.0,Main,Less than 2 months,More than 2 months
1075,DENC523016,6.0,389000.0,3,2021,19806,Red Clay Consolidated,4891,0.04,Wilm #10,Wilmington City,187,True,14900,91900,Residential,1978.0,3.0,2.0,No,Yes,1550.0,0.0,No,Yes,No,1978.0,FeeSimple,Twin/Semi-Detached,1550.0,"Main,Upper1,Upper2",Less than 2 months,More than 2 months
1076,DENC499344,10.0,410000.0,4,2020,19806,Red Clay Consolidated,6608,0.09,Rockford Towers,Wilmington City,93,True,16900,127400,Residential,1982.0,3.0,3.0,Yes,Yes,2025.0,401.0,No,Yes,No,1982.0,FeeSimple,End of Row/Townhouse,2426.0,"Lower1,Main,Upper1",Less than 2 months,More than 2 months
1077,DENC505626,5.0,405000.0,7,2020,19806,Red Clay Consolidated,3448,0.07,Wilm #13,Wilmington City,148,False,10700,64600,Residential,1920.0,3.0,2.0,Yes,Yes,1575.0,0.0,No,Yes,No,1920.0,FeeSimple,Twin/Semi-Detached,1575.0,"Lower1,Main,Upper1",Less than 2 months,More than 2 months
1078,DENC506256,5.0,395000.0,7,2020,19806,Red Clay Consolidated,6686,0.05,Westhill,Wilmington City,100,True,18800,127200,Residential,1988.0,3.0,3.0,Yes,Yes,2800.0,0.0,No,Yes,Yes,1988.0,FeeSimple,End of Row/Townhouse,2800.0,"Main,Upper1",Less than 2 months,More than 2 months
1079,DENC501524,2.0,385000.0,5,2020,19806,Red Clay Consolidated,3434,0.06,Wilm #13,Wilmington City,150,True,10500,64500,Residential,1920.0,3.0,2.0,Yes,Yes,1500.0,0.0,No,Yes,No,1920.0,FeeSimple,Twin/Semi-Detached,1500.0,"Main,Upper1",Less than 2 months,More than 2 months
